State,Total,Male,Female,IT,IM,IF,LT,LM,LF,NoT,NoM,NoF,BPT,BPM,BPF,PT,PM,PF,MT,MM,MF,ST,SM,SF,HT,HM,HF,GT,GM,GF,Area,Density,UrbanPop,Prev
NCT OF DELHI,16787941,8987326,7800615,4050174,1792470,2257704,12737767,7194856,5542911,453455,239952,213503,1458061,796975,661086,2230894,1197622,1033272,1931411,1099958,831453,2186314,1318133,868181,1705559,998578,706981,2757844,1535972,1221872,1483,11320,16368899,13850507
ODISHA,41974218,21212136,20762082,15231623,6122455,9109168,26742595,15089681,11652914,832805,438797,394008,5886571,3126770,2759801,7714716,4157327,3557389,5285243,3035765,2249478,3217355,1885832,1331523,1961207,1236272,724935,1783797,1174184,609613,155707,270,7003656,36804660
PUDUCHERRY,1247953,612511,635442,290644,115133,175511,957309,497378,459931,23696,11510,12186,93186,45162,48024,187723,89632,98091,171301,85255,86046,161826,87749,74077,174470,97275,77195,142029,79482,62547,490,2547,852753,974345
PUNJAB,27743338,14639465,13103873,9036201,4203409,4832792,18707137,10436056,8271081,566332,299936,266396,2227684,1273936,953748,4288200,2273540,2014660,3066305,1747063,1319242,4186373,2472299,1714074,2569163,1472861,1096302,1760846,873776,887070,50362,551,10399146,24358999
RAJASTHAN,68548437,35550997,32997440,30273155,11862585,18410570,38275282,23688412,14586870,1806164,1084848,721316,8083827,4423518,3660309,10524424,6143552,4380872,7319223,4788350,2530873,4610185,3168905,1441280,2688019,1887218,800801,3063282,2086247,977035,342239,200,17048085,56507188
SIKKIM,610577,323070,287507,165625,71801,93824,444952,251269,193683,17628,10158,7470,116100,66658,49442,115601,62664,52937,69545,37520,32025,53268,31220,22048,37910,22200,15710,32669,19290,13379,7096,86,153578,540851
TAMIL NADU,72147030,36137975,36009055,20309523,8097484,12212039,51837507,28040491,23797016,2300483,1188833,1111650,5629379,2861589,2767790,12325162,6479422,5845740,9608004,5087592,4520412,8193224,4540573,3652651,8137962,4665924,3472038,5457742,3119342,2338400,130060,555,34917440,62405679
TELANGANA,84580777,42442146,42138631,34024017,14190903,19833114,50556760,28251243,22305517,3142311,1741175,1401136,7437519,3884076,3553443,13449300,6904114,6545186,5572154,3006742,2565412,8585481,4842743,3742738,6442782,4042297,2400485,5577387,3632622,1944765,275045,308,28219075,76210007
TRIPURA,3673917,1874376,1799541,869134,373007,496127,2804783,1501369,1303414,160715,74925,85790,725461,363853,361608,698656,363404,335252,592396,320040,272356,200829,117515,83314,279686,168472,111214,137812,88621,49191,10486,350,961453,3199203
UTTAR PRADESH,199812341,104480510,95331831,85414786,36245546,49169240,114397555,68234964,46162591,5381466,3219206,2162260,21424480,11763367,9661113,27798792,15505178,12293614,23122728,14276668,8846060,15137315,9748121,5389194,11132832,7061432,4071400,9919838,6378138,3541700,240928,829,44495063,166000000
UTTARAKHAND,10086292,5137773,4948519,3205339,1274065,1931274,6880953,3863708,3017245,145906,72896,73010,1034583,554430,480153,1550574,803056,747518,1406871,806770,600101,1019490,627977,391513,795996,477837,318159,910288,512068,398220,53483,189,3049338,8489349
WEST BENGAL,91276115,46809027,44467088,29737834,12990217,16747617,61538281,33818810,27719471,1963759,1048966,914793,15902612,8437465,7465147,14954591,7897027,7057564,12474301,6684464,5789837,5430854,3151360,2279494,5758605,3388730,2369875,4827817,3088673,1739144,88752,1028,29093002,80176197
