Cluster_higher_urban,Cluster_literacy_density,Cluster_male_female_literacy,State (2001 u.csv),Area (2001 u.csv),BPF (2001 u.csv),BPM (2001 u.csv),BPT (2001 u.csv),Density (2001 u.csv),Density rate (2001 u.csv),Female (2001 u.csv),GF (2001 u.csv),GM (2001 u.csv),Growth Rate (2001 U.Csv),GT (2001 u.csv),HF (2001 u.csv),Higher (2001 U.Csv),Higher Male (2001 U.Csv),higher_female (2001_u.csv),HM (2001 u.csv),HT (2001 u.csv),IF (2001 u.csv),IM (2001 u.csv),IT (2001 u.csv),LF (2001 u.csv),Literacy (2001 U.Csv),Literacy Female (2001 U.Csv),Literacy Male (2001 U.Csv),LM (2001 u.csv),LT (2001 u.csv),Male (2001 u.csv),MF (2001 u.csv),MM (2001 u.csv),MT (2001 u.csv),NoF (2001 u.csv),NoM (2001 u.csv),NoT (2001 u.csv),PF (2001 u.csv),PM (2001 u.csv),Prev (2001 u.csv),PT (2001 u.csv),SF (2001 u.csv),SM (2001 u.csv),ST (2001 u.csv),Total (2001 u.csv),Urban Rate (2001 U.Csv),UrbanPop (2001 u.csv)
Cluster 2,Cluster 2,Cluster 3,JAMMU & KASHMIR,222236,363963,496517,860480,100,1.835709503,4782774,280,807,0.294326144,1087,217812,0.157076905,0.103189070,0.103189070,460392,678204,3036116,2300298,5336414,1746658,0.473918393,0.365197687,0.570914055,3060628,4807286,5360926,363560,710489,1074049,111642,135290,246932,413772,617935,7837051,1031707,275438,638612,914050,10143700,0.248098623,2516638
Cluster 2,Cluster 2,Cluster 3,JHARKHAND,79714,1283655,1864147,3147802,338,0.233448168,13060792,1235,7101,0.233562479,8336,414674,0.123115900,0.071907814,0.071907814,1146634,1561308,8930448,6238180,15168628,4130344,0.437069537,0.316239934,0.550726440,7646857,11777201,13885037,626742,1279861,1906603,117169,199931,317100,1162971,1924134,21843911,3087105,523264,1224552,1747816,26945829,0.222436690,5993741
Cluster 1,Cluster 2,Cluster 2,KARNATAKA,191791,3471539,4205270,7676809,276,0.176914410,25951644,14378,54661,0.175052267,69039,1543567,0.187983242,0.140431566,0.140431566,3152030,4695597,13177893,9237707,22415600,12773751,0.575868276,0.492213557,0.656577004,17661211,30434962,26898918,1575179,2239919,3815098,219636,318906,538542,3862957,4606498,44977201,8469455,2086485,3083899,5170384,52850562,0.339855024,17961529
Cluster 1,Cluster 3,Cluster 1,KERALA,38863,2522787,2408299,4931086,819,0.093828799,16372760,33923,16129,0.094261020,50052,1841261,0.256851133,0.253924873,0.253924873,1755979,3597240,3640674,2715012,6355686,12732086,0.800395360,0.777638346,0.824482530,12753602,25485688,15468614,2946759,3088153,6034912,148203,136951,285154,2956600,3098641,29098518,6055241,2282267,2248934,4531201,31841374,0.259628400,8266925
Cluster 2,Cluster 3,Cluster 1,LAKSHADWEEP,32,5903,6455,12358,1895,0.172761908,29519,53,61,0.172955306,114,518,0.126578730,0.086520546,0.086520546,1750,2268,9347,6620,15967,20172,0.736735367,0.683356482,0.787350230,24511,44683,31131,4360,4802,9162,1346,1142,2488,6009,6985,51707,12994,1983,3312,5295,60650,0.444633141,26967
Cluster 2,Cluster 2,Cluster 2,MADHYA PRADESH,308245,4343125,5856136,10199261,196,0.243992072,28904371,1305,5607,0.242591984,6912,1188121,0.111954604,0.071159203,0.071159203,2730203,3918324,16984082,11771378,28755460,11920289,0.523506180,0.412404373,0.625635788,19672274,31592563,31443652,1581700,3151625,4733325,723637,747050,1470687,3212017,5214064,48566242,8426081,867386,1963617,2831003,60348023,0.264584392,15967145
Cluster 1,Cluster 1,Cluster 1,MAHARASHTRA,307713,7398799,8673106,16071905,315,0.227933230,46478031,4725,10325,0.227287552,15050,3484795,0.214887438,0.157126019,0.157126019,6830449,10315244,19697051,13215633,32912684,26780980,0.660268885,0.576207284,0.737788160,37184963,63965943,50400596,3822174,5713721,9535895,542849,718887,1261736,7714141,8563920,78937187,16278061,3813388,6674318,10487706,96878627,0.424252297,41100980
Cluster 1,Cluster 1,Cluster 2,MANIPUR,22327,98986,110301,209287,103,0.251766188,1071154,25,117,0.179429649,142,109716,0.229135015,0.183472218,0.183472218,168470,278186,514086,342168,856254,557068,0.604827976,0.520063408,0.687698629,753466,1310534,1095634,125555,181974,307529,16110,21376,37486,119763,139630,1837149,259393,86786,131373,218159,2166788,0.265816499,575968
Cluster 2,Cluster 2,Cluster 3,MEGHALAYA,22429,226680,240076,466756,103,0.301676604,1142735,14,77,0.306542001,91,45767,0.101791772,0.087792008,0.087792008,61158,106925,599132,561815,1160947,543603,0.499337595,0.475703466,0.522301496,614272,1157875,1176087,69541,81046,150587,19786,24987,44773,127235,132392,1774778,259627,54542,74479,129021,2318822,0.195836938,454111
Cluster 2,Cluster 1,Cluster 1,MIZORAM,21081,120318,118903,239221,42,0.283645231,429464,9,28,0.288242509,37,19456,0.123831131,0.104323063,0.104323063,33271,52727,118124,109004,227128,311340,0.744390163,0.724950170,0.762574901,350105,661445,459109,57125,65909,123034,7823,7018,14841,81262,93007,689756,174269,25338,31931,57269,888573,0.496308126,441006
Cluster 2,Not Clustered,Cluster 2,NAGALAND,1483,107953,121699,229652,9340,10.451585967,942895,114,342,0.645275169,456,52990,0.165666852,0.133697814,0.133697814,91836,144826,450773,406940,857713,492122,0.568996239,0.521926620,0.611379938,640201,1132323,1047141,99815,129968,229783,14303,18164,32467,143890,166630,1209546,310520,72959,111442,184401,1990036,0.172251658,342787
Cluster 3,Cluster 1,Cluster 1,NCT OF DELHI,16579,681938,852975,1534913,120,-0.788816985,6243273,3728,5019,0.470229318,8747,1146072,0.327246432,0.282455693,0.282455693,1686215,2832287,2279356,1906387,4185743,3963917,0.697791352,0.634910086,0.749398139,5700847,9664764,7607234,602538,929152,1531690,41719,54600,96319,873738,1093728,9420644,1967466,613648,1077847,1691495,13850507,0.931791161,12905780
Cluster 2,Cluster 2,Cluster 2,ODISHA,155707,2427412,3328385,5755797,236,0.160680936,18144090,1449,7495,0.162506851,8944,705594,0.135269365,0.091384688,0.091384688,1647711,2353305,10299368,6668237,16967605,7844722,0.538982156,0.432356872,0.642656307,11992333,19837055,18660570,1092524,1783236,2875760,148648,278436,427084,2517997,3280957,31659736,5798954,951049,1665245,2616294,36804660,0.149905963,5517238
Cluster 3,Cluster 3,Cluster 1,PUDUCHERRY,479,47793,48838,96631,2034,0.206120440,487384,384,835,0.206193480,1219,52859,0.271374103,0.217341973,0.217341973,84435,137294,169775,108203,277978,317609,0.714702698,0.651660703,0.777799454,378758,696367,486961,67108,74858,141966,4630,6038,10668,92146,90538,807785,182684,52686,73213,125899,974345,0.665697469,648619
Cluster 1,Cluster 1,Cluster 2,PUNJAB,50362,1167531,1538004,2705535,484,0.201816648,11373954,11563,8343,0.201017465,19906,952293,0.226579754,0.195221556,0.195221556,1295433,2247726,5059277,4542752,9602029,6314677,0.605811840,0.555187492,0.650155082,8442293,14756970,12985045,1017519,1480902,2498421,119977,125467,245444,1787944,1997111,20281969,3785055,1256585,1995039,3251624,24358999,0.339197477,8262511
Cluster 2,Cluster 2,Cluster 3,RAJASTHAN,342239,3746411,5247851,8994262,165,0.283221557,27087177,1578,5456,0.284079463,7034,688941,0.098810934,0.051827217,0.051827217,1983745,2672686,17432324,11372854,28805178,9654853,0.490238693,0.356436295,0.613431348,18047157,27702010,29420011,1166536,3163807,4330343,881235,864680,1745915,2456813,4591114,44005990,7047927,713334,2190474,2903808,56507188,0.233852992,13214375
Cluster 2,Cluster 1,Cluster 2,SIKKIM,7096,45538,63583,109121,76,0.326821779,252367,8,38,0.330647522,46,11397,0.127654382,0.099497953,0.099497953,21737,33134,123092,99424,222516,129275,0.588581698,0.512250017,0.655356970,189060,318335,288484,20048,27788,47836,2176,5504,7680,36398,48077,406457,84475,13705,22157,35862,540851,0.110695922,59870
Cluster 1,Cluster 1,Cluster 1,TAMIL NADU,130058,3060652,3432035,6492687,480,0.117597887,31004770,8842,27213,0.117201155,36055,1993890,0.179904861,0.141324480,0.141324480,3191220,5185110,13289887,8591247,21881134,17714883,0.649372712,0.571359923,0.726401328,22809662,40524545,31400909,3173970,3793706,6967676,1812030,2372243,4184273,5286283,6365777,55858946,11652060,2379001,3626919,6005920,62405679,0.440408604,27483998
Cluster 2,Cluster 2,Cluster 2,TELANGANA,275045,4554633,5253668,9808301,277,0.145538218,37682594,10121,34006,0.145877155,44127,1934144,0.159821426,0.107244262,0.107244262,4444887,6379031,21193059,15082625,36275684,16489535,0.524003665,0.437590231,0.608522249,23444788,39934323,38527413,1663875,2422208,4086083,652732,838354,1491086,5575853,6789316,66508008,12365169,2096977,3659857,5756834,76210007,0.273047344,20808940
Cluster 2,Cluster 1,Cluster 2,TRIPURA,10486,299661,348424,648085,305,0.159953649,1556978,16,100,0.160306542,116,49117,0.098631753,0.068779392,0.068779392,106699,155816,685586,491518,1177104,871392,0.632063361,0.559668794,0.700699965,1150707,2022099,1642225,163481,225256,388737,12640,15172,27812,288473,353322,2757205,641795,57955,101656,159611,3199203,0.170589362,545750
Cluster 2,Cluster 2,Cluster 3,UTTAR PRADESH,240928,7947971,11278968,19226939,690,0.258808414,78632552,8504,21973,0.258487360,30477,3148515,0.121410827,0.072701990,0.072701990,7877553,11026068,51814681,38663956,90478637,26817871,0.455597059,0.341053041,0.558456083,48901413,75719284,87565369,4509966,9819868,14329834,1310621,1961714,3272335,7326401,11368153,132061653,18694554,2559724,6561958,9121682,166197921,0.207821986,34539582
Cluster 1,Cluster 1,Cluster 2,UTTARAKHAND,53483,530909,625981,1156890,159,0.206103877,4163425,463,1018,0.204054699,1481,352210,0.186680274,0.137652293,0.137652293,587459,939669,2066518,1317049,3383567,2096907,0.601433867,0.503649519,0.695545044,3008875,5105782,4325924,364470,613423,977893,48481,60951,109432,579314,696187,7050634,1275501,220432,423212,643644,8489349,0.256683286,2179074
Cluster 2,Cluster 2,Cluster 2,WEST BENGAL,88752,7423512,8924186,16347698,903,0.177224613,38710212,968,4228,0.177711422,5196,1767153,0.130140483,0.091821714,0.091821714,3802135,5569288,18966237,14013559,32979796,19743975,0.588658514,0.510045644,0.662046880,27452426,47196401,41465985,3280177,4770466,8050643,370511,522069,892580,5109960,6340039,68077965,11449999,1786317,3073368,4859685,80176197,0.279724555,22427251
