,State,Weighted_score,Higher,Urban Rate,Literacy,Density,FM Ratio
0,ANDAMAN & NICOBAR ISLANDS,0.6378751643676193,0.31682231432642466,0.05330267143588558,1.187824058087158,-0.4380921537569964,0.9595070396599819
1,ANDHRA PRADESH,-0.38842010602394367,-0.2521717209006338,-0.22769801026424039,-0.6526922225692704,-0.31743670198830587,-0.3286703429900855
2,ARUNACHAL PRADESH,-0.9624423467735724,-0.9558356570870776,-0.5735842094718984,-1.4655358080649434,-0.45356080141964905,-0.7901891488751315
3,ASSAM,-0.4861483582072828,-0.4830162774778394,-0.9882424446778523,-0.6350334068516309,-0.28495254189673536,0.06691374685107096
4,BIHAR,-1.5329571006383849,-1.0445030573988097,-1.11721701002756,-2.122993750506935,-0.00600126238023284,-1.904619826398412
5,CHANDIGARH,2.0639069903261777,2.972130347539527,3.0710264853149436,1.2219528448294752,3.613146669091728,1.1525675293724829
6,CHHATTISGARH,-0.7023211324228746,-1.051204597282883,-0.6086305434657121,-0.5315123886104486,-0.38085815740518164,-0.769862861611844
7,DADRA & NAGAR HAVELI,-0.9796138513968851,-0.1974799122274477,-0.4610007654031901,-1.1727023921716861,-0.22874978872243076,-1.9944312809023943
8,DAMAN & DIU,0.44499563574953804,0.89396235774392,0.24464771616833958,0.8860876861193615,0.2683094228374739,-0.26203560273299636
9,GOA,1.2343308136498037,2.026356847392393,0.9580206993148376,1.3904504026054567,-0.2725776237666132,0.948623258179078
10,GUJARAT,-0.01579380930504351,-0.008147358260119274,0.30324973358834256,-0.01550710538045553,-0.3272335121746525,-0.21917706396821882
11,HARYANA,-0.14531573055539282,0.16925975483703,-0.14232586716027112,-0.18012684641822066,-0.21379676264853323,-0.35218859469197017
12,HIMACHAL PRADESH,0.20694726074641057,0.6908605189251757,-1.1521261289192049,0.7366304481202632,-0.4040611288991606,0.4246364501164261
13,JAMMU & KASHMIR,-0.7565197060140383,-0.2922409925722814,-0.35944605910185173,-1.1463180033994784,-0.4087017231979564,-1.0751860834636933
14,JHARKHAND,-1.1354496525206264,-0.7880625714879406,-0.4949604047932203,-1.5094895424439285,-0.2859837850742455,-1.690290253791418
15,KARNATAKA,-0.011756892962725606,0.15898325152295262,0.12509688801401198,-0.1415297973691027,-0.31795232357706094,-0.04143040754820337
16,KERALA,1.2215835873213368,1.1644360186660785,-0.2985601474239439,2.0713434232660934,-0.037969800883048285,1.7772984047125018
17,LAKSHADWEEP,0.705490262636504,-0.7375061807652128,0.6784043090889817,1.4439291655922881,0.5168390286174261,1.069944986263595
18,MADHYA PRADESH,-0.6798478947690139,-0.9510145043139872,-0.27238877470889317,-0.657595289114986,-0.35920205067746797,-0.8918772480180138
19,MAHARASHTRA,0.4782063353540424,0.5517773087122602,0.5707780932736004,0.6902979008047263,-0.2978430816156125,0.2529864608427609
20,MANIPUR,0.12582992596517736,0.7597881176933972,-0.2658823212033543,0.1438885293020314,-0.40715485843169114,0.020327742397475427
21,MEGHALAYA,-0.28173069457521627,-1.0993891301089125,-0.6354271415675963,-0.8957937887095629,-0.40715485843169114,1.472791970106599
22,MIZORAM,0.9126092296718457,-0.777620390412633,0.951287173403462,1.5193725944029772,-0.4386077753457515,1.84757307085398
23,NAGALAND,0.21308118818237526,-0.16683006658991317,-0.7599751944031998,-0.20925858259001773,4.355641756899055,0.9361782572098134
24,NCT OF DELHI,1.6099269815997128,2.1921885335996003,3.250965788717295,1.0601083526986625,-0.3983892914228546,0.8754697338858963
25,ODISHA,-0.6560788158451043,-0.6106252369450964,-0.8779773042576635,-0.5050685994903487,-0.3385771871272645,-0.7641653509555325
26,PUDUCHERRY,1.2411524975749204,1.376467491702425,1.8457905603359976,1.226781628909278,0.5885104294543834,0.7871209158970051
27,PUNJAB,0.43365213189898244,0.7224819913416709,0.12162454431074067,0.1535852049081997,-0.2107030331160027,0.9384776305678967
28,RAJASTHAN,-1.0285758983631061,-1.142908566699549,-0.43467372663280796,-0.9854699035651947,-0.3751863199288757,-1.6260999400408171
29,SIKKIM,-0.3308314779508211,-0.7218019496035085,-1.0850358703698397,-0.016230031366554775,-0.4210766413280785,0.25902251036755497
30,TAMIL NADU,0.37737716580791386,0.04104105215334443,0.6560955700160529,0.5829084090358478,-0.21276551947102304,0.30532988979667225
31,TELANGANA,-0.38842010602394367,-0.2521717209006338,-0.22769801026424039,-0.6526922225692704,-0.31743670198830587,-0.3286703429900855
32,TRIPURA,-0.17974693817597526,-1.145524561318427,-0.7687533700295403,0.41231251204163494,-0.3029992975031634,0.4196676372385572
33,UTTAR PRADESH,-1.0086375580792848,-0.8129561807031702,-0.5721370559064871,-1.326887708633405,-0.10448498583245461,-1.347406178636527
34,UTTARAKHAND,-0.09142202290441885,0.13996026763197023,-0.31411256885285516,0.11043718445662742,-0.3782800494614062,-0.2816357242674389
35,WEST BENGAL,-0.14493507734471256,-0.6855055407321046,-0.19243730407705628,-0.01547295535466363,0.005342412572379091,0.15349901756343148
