Cluster_higher_urban,Cluster_literacy_density,Cluster_male_female_literacy,State,Area,BPF,BPM,BPT,Density,Density rate,Female,GF,GM,Growth Rate,GT,HF,Higher,Higher Male,higher_female,HM,HT,IF,IM,IT,LF,Literacy,Literacy Female,Literacy Male,LM,LT,Male,MF,MM,MT,No F,No M,No T,PF,PM,Prev,PT,SF,SM,ST,Total,Urban Pop,Urban Rate
Cluster 1,Cluster 2,Cluster 3,MANIPUR,22327,119904,123662,243566,128,0.318936601,1417208,90538,135082,0.317984962,225620,103461,0.276276580,0.238682677,0.238682677,129692,233153,548590,398728,947318,868618,0.668282096,0.612907915,0.722833393,1039858,1908476,1438586,205903,251129,457032,40958,47433,88391,162064,164889,2166788,326953,144264,185952,330216,2855794,834154,0.292091797
Cluster 1,Cluster 2,Cluster 2,MEGHALAYA,22429,297246,311818,609064,132,0.276781055,1475057,44208,46311,0.279481133,90519,60506,0.128359706,0.120655676,0.120655676,69741,130247,603931,577953,1181884,871126,0.601641989,0.590571076,0.612588415,913879,1785005,1491832,146625,151272,297897,37358,41109,78467,209168,203761,2318822,412929,73260,86803,160063,2966889,595450,0.200698442
Cluster 1,Cluster 1,Cluster 1,MIZORAM,21081,110603,105262,215865,52,0.233676918,541867,20094,29527,0.234795565,49621,33848,0.190389954,0.176906879,0.176906879,37275,71123,132221,116810,249031,409646,0.773031682,0.755989938,0.789660009,438529,848175,555339,96504,104978,201482,7181,6288,13469,99016,108434,888573,207450,41918,46235,88153,1097206,571771,0.521115451
Cluster 1,Cluster 2,Cluster 3,NAGALAND,16579,124376,134218,258594,119,-0.008610397,953853,36695,53023,-0.005795875,89718,48410,0.187601529,0.165790746,0.165790746,63517,111927,335376,300692,636068,618477,0.678510307,0.648398653,0.706541460,723957,1342434,1024649,139877,164734,304611,34505,39339,73844,159804,170554,1990036,330358,73035,96490,169525,1978502,570966,0.288585000
Cluster 1,Cluster 2,Cluster 3,ODISHA,155707,2759801,3126770,5886571,270,0.142270843,20762082,609613,1174184,0.140459333,1783797,724935,0.165872274,0.128410580,0.128410580,1236272,1961207,9109168,6122455,15231623,11652914,0.637119553,0.561259415,0.711370180,15089681,26742595,21212136,2249478,3035765,5285243,394008,438797,832805,3557389,4157327,36804660,7714716,1331523,1885832,3217355,41974218,7003656,0.166856140
Cluster 1,Cluster 2,Cluster 2,RAJASTHAN,342239,3660309,4423518,8083827,200,0.211311382,32997440,977035,2086247,0.213092341,3063282,800801,0.151155686,0.097556538,0.097556538,1887218,2688019,18410570,11862585,30273155,14586870,0.558368413,0.442060657,0.666322016,23688412,38275282,35550997,2530873,4788350,7319223,721316,1084848,1806164,4380872,6143552,56507188,10524424,1441280,3168905,4610185,68548437,17048085,0.248701294
Cluster 1,Cluster 1,Cluster 1,SIKKIM,7096,49442,66658,116100,86,0.128325546,287507,13379,19290,0.128919055,32669,15710,0.202836006,0.177863495,0.177863495,22200,37910,93824,71801,165625,193683,0.728740192,0.673663598,0.777754047,251269,444952,323070,32025,37520,69545,7470,10158,17628,52937,62664,540851,115601,22048,31220,53268,610577,153578,0.251529291
Cluster 1,Cluster 2,Cluster 2,TELANGANA,275045,3553443,3884076,7437519,308,0.111584467,42138631,1944765,3632622,0.109838200,5577387,2400485,0.243620959,0.191937607,0.191937607,4042297,6442782,19833114,14190903,34024017,22305517,0.597733454,0.529336537,0.665641247,28251243,50556760,42442146,2565412,3006742,5572154,1401136,1741175,3142311,6545186,6904114,76210007,13449300,3742738,4842743,8585481,84580777,28219075,0.333634615
Cluster 1,Cluster 1,Cluster 1,TRIPURA,10486,361608,363853,725461,350,0.147191973,1799541,49191,88621,0.148385082,137812,111214,0.168301842,0.135433980,0.135433980,168472,279686,496127,373007,869134,1303414,0.763431237,0.724303586,0.800996705,1501369,2804783,1874376,272356,320040,592396,85790,74925,160715,335252,363404,3199203,698656,83314,117515,200829,3673917,961453,0.261696984
Cluster 1,Cluster 2,Cluster 2,UTTAR PRADESH,240928,9661113,11763367,21424480,829,0.203188627,95331831,3541700,6378138,0.203688801,9919838,4071400,0.181119869,0.136389849,0.136389849,7061432,11132832,49169240,36245546,85414786,46162591,0.572524972,0.484230613,0.653087968,68234964,114397555,104480510,8846060,14276668,23122728,2162260,3219206,5381466,12293614,15505178,166000000,27798792,5389194,9748121,15137315,199812341,44495063,0.222684259
