State,Total,Male,Female,IT,IM,IF,LT,LM,LF,NoT,NoM,NoF,BPT,BPM,BPF,PT,PM,PF,MT,MM,MF,ST,SM,SF,HT,HM,HF,GT,GM,GF,Area,Density,UrbanPop,Prev,literacy,higher,higher_male,higher_female,literacy_male,literacy_female,urban_rate,growth_rate,Density_rate
JHARKHAND,26945829,13885037,13060792,15168628,6238180,8930448,11777201,7646857,4130344,317100,199931,117169,3147802,1864147,1283655,3087105,1924134,1162971,1906603,1279861,626742,1747816,1224552,523264,1561308,1146634,414674,8336,7101,1235,79714,338,5993741,21843911,0.43706953681031674,0.12311590042377245,0.07190781385998644,0.07190781385998644,0.5507264402680382,0.3162399339948144,0.22243668955221232,0.23356247880702316,0.23344816777544997
KARNATAKA,52850562,26898918,25951644,22415600,9237707,13177893,30434962,17661211,12773751,538542,318906,219636,7676809,4205270,3471539,8469455,4606498,3862957,3815098,2239919,1575179,5170384,3083899,2086485,4695597,3152030,1543567,69039,54661,14378,191791,276,17961529,44977201,0.5758682755350832,0.18798324225956198,0.1404315657227727,0.1404315657227727,0.6565770043241145,0.4922135568752407,0.33985502367978604,0.17505226703635915,0.1769144104809902
KERALA,31841374,15468614,16372760,6355686,2715012,3640674,25485688,12753602,12732086,285154,136951,148203,4931086,2408299,2522787,6055241,3098641,2956600,6034912,3088153,2946759,4531201,2248934,2282267,3597240,1755979,1841261,50052,16129,33923,38863,819,8266925,29098518,0.8003953598233543,0.25685113337131743,0.25392487277648973,0.25392487277648973,0.8244825295918561,0.7776383456423963,0.2596284004578446,0.09426102044097229,0.09382879911616121
LAKSHADWEEP,60650,31131,29519,15967,6620,9347,44683,24511,20172,2488,1142,1346,12358,6455,5903,12994,6985,6009,9162,4802,4360,5295,3312,1983,2268,1750,518,114,61,53,32,1895,26967,51707,0.7367353668590272,0.12657873042044518,0.08652054608895965,0.08652054608895965,0.7873502296746009,0.6833564822656594,0.4446331409727947,0.1729553058580076,0.172761908445665
MADHYA PRADESH,60348023,31443652,28904371,28755460,11771378,16984082,31592563,19672274,11920289,1470687,747050,723637,10199261,5856136,4343125,8426081,5214064,3212017,4733325,3151625,1581700,2831003,1963617,867386,3918324,2730203,1188121,6912,5607,1305,308245,196,15967145,48566242,0.5235061801444597,0.11195460371584998,0.07115920287627085,0.07115920287627085,0.6256357881075646,0.41240437302717986,0.26458439243320364,0.24259198395461604,0.24399207169457326
MAHARASHTRA,96878627,50400596,46478031,32912684,13215633,19697051,63965943,37184963,26780980,1261736,718887,542849,16071905,8673106,7398799,16278061,8563920,7714141,9535895,5713721,3822174,10487706,6674318,3813388,10315244,6830449,3484795,15050,10325,4725,307713,315,41100980,78937187,0.6602688846942474,0.21488743848527087,0.15712601938752527,0.15712601938752527,0.7377881602828665,0.5762072838240501,0.42425229663917513,0.22728755206338933,0.22793322999969592
MANIPUR,2166788,1095634,1071154,856254,342168,514086,1310534,753466,557068,37486,21376,16110,209287,110301,98986,259393,139630,119763,307529,181974,125555,218159,131373,86786,278186,168470,109716,142,117,25,22327,103,575968,1837149,0.604827975787202,0.22913501459302896,0.18347221781368506,0.18347221781368506,0.6876986292867874,0.5200634082494208,0.2658164988914467,0.17942964887442445,0.25176618771803483
MEGHALAYA,2318822,1176087,1142735,1160947,561815,599132,1157875,614272,543603,44773,24987,19786,466756,240076,226680,259627,132392,127235,150587,81046,69541,129021,74479,54542,106925,61158,45767,91,77,14,22429,103,454111,1774778,0.49933759469247746,0.101791771856572,0.0877920077708305,0.0877920077708305,0.5223014964029021,0.47570346580790823,0.19583693789346487,0.3065420013094595,0.30167660405977537
MIZORAM,888573,459109,429464,227128,109004,118124,661445,350105,311340,14841,7018,7823,239221,118903,120318,174269,93007,81262,123034,65909,57125,57269,31931,25338,52727,33271,19456,37,28,9,21081,42,441006,689756,0.7443901626540532,0.12383113148835267,0.10432306316711062,0.10432306316711062,0.7625749005138214,0.7249501704450199,0.4963081255000996,0.2882425089451922,0.28364523106721806
NAGALAND,1990036,1047141,942895,857713,406940,450773,1132323,640201,492122,32467,18164,14303,229652,121699,107953,310520,166630,143890,229783,129968,99815,184401,111442,72959,144826,91836,52990,456,342,114,1483,9340,342787,1209546,0.5689962392640133,0.1656668522579491,0.1336978136483914,0.1336978136483914,0.6113799383273122,0.5219266196130004,0.17225165775895512,0.6452751693610661,10.45158596696612
