Area Name,Religion,Number of literates,Division,Male Head,Female Head,1,2,3,4,5,6,7,Total Heads,Literacy Rate,Total Households,Cluster
INDIA,All Religious communities,0,TOTAL,22603591,5197226,15.51270957252803,20.06555418856935,13.754754041940567,15.029727363767762,12.743442036253827,9.004343289623467,13.889469507317,27800817,0.0,27800817,2
INDIA,All Religious communities,1,TOTAL,25222202,3793385,11.485671477196032,17.019848676506182,17.624258299513293,17.6081462697963,14.439221925787681,9.38088207555477,12.441971275645741,29015587,3.446423468875539e-06,29015587,2
INDIA,All Religious communities,2,TOTAL,33076889,3519241,0.0,14.78153291072034,21.34292341840517,24.91429011756161,16.22001561367281,10.046392883619115,12.69484505602095,36596130,5.465058737085041e-06,36596130,2
INDIA,All Religious communities,3,TOTAL,28507863,2990978,0.0,0.0,18.36922825192203,27.127953692010447,22.67644387296663,13.8877522509479,17.938621932152994,31498841,9.524159952424917e-06,31498841,2
INDIA,All Religious communities,4,TOTAL,27234951,2004098,0.0,0.0,0.0,34.68096038280862,26.530216492335303,16.749576909974056,22.03924621488202,29239049,1.3680335499283853e-05,29239049,2
INDIA,All Religious communities,5,TOTAL,17680686,1128857,0.0,0.0,0.0,0.0,39.14198766019993,24.89169460416981,35.96631773563026,18809543,2.6582251360386587e-05,18809543,2
INDIA,All Religious communities,6,TOTAL,9068292,578790,0.0,0.0,0.0,0.0,0.0,34.5414188456157,65.4585811543843,9647082,6.219497253159038e-05,9647082,0
INDIA,All Religious communities,7,TOTAL,9737028,775283,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10512311,6.658859312666834e-05,10512311,0
INDIA,HINDU,0,TOTAL,18103486,4321595,16.66035899714253,21.269020165412112,13.951151391604785,14.995397341039704,12.440334106262537,8.549075028982058,12.134662969556274,22425081,0.0,22425081,2
INDIA,HINDU,1,TOTAL,21115383,3142837,11.727616453309436,17.643990366976638,18.09808386600501,17.866356228940127,14.343385458619801,9.061732476661518,11.258835149487473,24258220,4.12231400325333e-06,24258220,2
