Area Name,Division,Ownership,Household Size,Total number of female headed households,No exclusive room,1,2,3,4,5,6 and above
INDIA,Rural,Total,9+," 8,49,773 "," 26,116 "," 1,30,672 "," 2,18,072 "," 1,68,810 "," 1,35,586 "," 66,420 "," 1,04,097 "
INDIA,Rural,Owned,All Households," 1,62,70,946 "," 9,04,435 "," 67,82,101 "," 48,39,063 "," 19,62,749 "," 10,37,400 "," 3,62,351 "," 3,82,847 "
INDIA,Rural,Owned,1," 33,29,922 "," 2,74,533 "," 20,42,975 "," 6,98,007 "," 1,86,615 "," 79,341 "," 22,917 "," 25,534 "
INDIA,Rural,Owned,2," 24,34,869 "," 1,63,742 "," 12,40,940 "," 6,84,865 "," 2,06,222 "," 89,345 "," 25,666 "," 24,089 "
INDIA,Rural,Owned,3," 26,23,267 "," 1,45,859 "," 11,13,240 "," 8,29,922 "," 3,08,711 "," 1,45,058 "," 43,920 "," 36,557 "
INDIA,Rural,Owned,4," 23,72,917 "," 1,13,428 "," 8,84,239 "," 7,96,299 "," 3,20,483 "," 1,63,259 "," 51,168 "," 44,041 "
INDIA,Rural,Owned,5," 20,29,872 "," 85,423 "," 6,59,949 "," 7,03,261 "," 3,13,368 "," 1,62,323 "," 56,164 "," 49,384 "
INDIA,Rural,Owned,608," 26,51,643 "," 96,726 "," 7,15,894 "," 9,14,926 "," 4,62,224 "," 2,64,497 "," 96,977 "," 1,00,399 "
INDIA,Rural,Owned,9+," 8,28,456 "," 24,724 "," 1,24,864 "," 2,11,783 "," 1,65,126 "," 1,33,577 "," 65,539 "," 1,02,843 "
INDIA,Rural,Rented,All Households," 6,94,946 "," 59,547 "," 3,61,150 "," 1,91,185 "," 56,028 "," 17,777 "," 4,834 "," 4,425 "
INDIA,Rural,Rented,1," 1,76,514 "," 20,046 "," 1,13,044 "," 33,063 "," 7,487 "," 1,905 ", 440 , 529 
INDIA,Rural,Rented,2," 1,46,775 "," 13,322 "," 82,738 "," 37,409 "," 9,515 "," 2,634 ", 620 , 537 
INDIA,Rural,Rented,3," 1,46,845 "," 11,533 "," 74,831 "," 43,022 "," 12,414 "," 3,519 ", 883 , 643 
INDIA,Rural,Rented,4," 98,397 "," 6,936 "," 44,477 "," 32,371 "," 9,885 "," 3,266 ", 838 , 624 
INDIA,Rural,Rented,5," 58,000 "," 3,772 "," 23,595 "," 20,375 "," 6,811 "," 2,305 ", 636 , 506 
INDIA,Rural,Rented,608," 56,143 "," 3,242 "," 19,303 "," 20,923 "," 7,786 "," 3,092 ", 919 , 878 
INDIA,Rural,Rented,9+," 12,272 ", 696 ," 3,162 "," 4,022 "," 2,130 "," 1,056 ", 498 , 708 
INDIA,Rural,Any Other,All Households," 4,88,334 "," 63,880 "," 2,67,199 "," 96,011 "," 37,649 "," 15,256 "," 4,066 "," 4,273 "
INDIA,Rural,Any Other,1," 1,49,044 "," 25,523 "," 95,762 "," 18,723 "," 5,688 "," 2,027 ", 551 , 770 
INDIA,Rural,Any Other,2," 98,752 "," 14,155 "," 59,441 "," 17,027 "," 5,234 "," 1,902 ", 471 , 522 
INDIA,Rural,Any Other,3," 87,103 "," 10,706 "," 47,926 "," 18,126 "," 6,704 "," 2,424 ", 631 , 586 
INDIA,Rural,Any Other,4," 60,880 "," 6,325 "," 29,319 "," 15,224 "," 6,280 "," 2,602 ", 600 , 530 
INDIA,Rural,Any Other,5," 39,758 "," 3,400 "," 16,780 "," 11,251 "," 5,124 "," 2,134 ", 572 , 497 
INDIA,Rural,Any Other,608," 43,752 "," 3,075 "," 15,325 "," 13,393 "," 7,065 "," 3,214 ", 858 , 822 
INDIA,Rural,Any Other,9+," 9,045 ", 696 ," 2,646 "," 2,267 "," 1,554 ", 953 , 383 , 546 
INDIA,Urban,Total,All Households," 94,34,700 "," 3,57,081 "," 31,54,234 "," 28,21,539 "," 16,35,152 "," 8,43,549 "," 3,04,583 "," 3,18,562 "
INDIA,Urban,Total,1," 12,53,232 "," 81,990 "," 6,24,622 "," 3,06,387 "," 1,44,666 "," 59,274 "," 18,696 "," 17,597 "
INDIA,Urban,Total,2," 14,47,091 "," 67,999 "," 6,09,773 "," 4,31,253 "," 2,06,165 "," 84,053 "," 25,807 "," 22,041 "
INDIA,Urban,Total,3," 17,02,577 "," 67,050 "," 6,18,027 "," 5,36,441 "," 2,86,925 "," 1,23,134 "," 38,798 "," 32,202 "
INDIA,Urban,Total,4," 15,61,772 "," 52,030 "," 4,95,834 "," 5,05,253 "," 2,84,496 "," 1,39,601 "," 45,052 "," 39,506 "
INDIA,Urban,Total,5," 13,17,948 "," 36,772 "," 3,57,350 "," 4,24,314 "," 2,64,760 "," 1,39,683 "," 50,064 "," 45,005 "
INDIA,Urban,Total,608," 15,94,635 "," 40,281 "," 3,75,500 "," 4,97,122 "," 3,29,827 "," 1,96,649 "," 74,770 "," 80,486 "
INDIA,Urban,Total,9+," 5,57,445 "," 10,959 "," 73,128 "," 1,20,769 "," 1,18,313 "," 1,01,155 "," 51,396 "," 81,725 "
INDIA,Urban,Owned,All Households," 70,19,543 "," 2,18,977 "," 19,85,153 "," 21,10,470 "," 13,56,613 "," 7,61,595 "," 2,84,763 "," 3,01,972 "
INDIA,Urban,Owned,1," 8,71,318 "," 47,641 "," 3,90,964 "," 2,30,288 "," 1,17,587 "," 52,025 "," 16,998 "," 15,815 "
INDIA,Urban,Owned,2," 9,68,108 "," 37,934 "," 3,54,968 "," 3,01,084 "," 1,59,249 "," 71,896 "," 23,115 "," 19,862 "
INDIA,Urban,Owned,3," 11,68,480 "," 38,250 "," 3,62,623 "," 3,72,863 "," 2,23,222 "," 1,06,799 "," 35,203 "," 29,520 "
INDIA,Urban,Owned,4," 11,52,354 "," 32,518 "," 3,12,122 "," 3,72,442 "," 2,32,306 "," 1,24,356 "," 41,631 "," 36,979 "
INDIA,Urban,Owned,5," 10,48,044 "," 24,880 "," 2,42,854 "," 3,33,171 "," 2,28,329 "," 1,28,514 "," 47,299 "," 42,997 "
INDIA,Urban,Owned,608," 13,18,023 "," 29,199 "," 2,67,606 "," 4,00,654 "," 2,89,514 "," 1,82,596 "," 71,086 "," 77,368 "
